CoInspect	{'main_url': ' https://coinspectapp.com/', 'twitter_url': ' https://twitter.com/coinspectapp?lang=en', 'angellist_url': ' https://angel.co/company/coinspectapp', 'crunchbase_url': ' https://www.crunchbase.com/organization/mewe-inc-', 'linkedin_url': ' https://www.linkedin.com/company/coinspectapp', 'facebook_url': ' https://www.facebook.com/coinspectapp/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 1, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Community.lawyer, P.B.C.	{'main_url': ' https://community.lawyer/', 'twitter_url': ' https://twitter.com/lawyercommunity?lang=en', 'angellist_url': ' https://community.lawyer/', 'crunchbase_url': ' https://www.crunchbase.com/organization/community-lawyer-2', 'linkedin_url': ' https://www.linkedin.com/in/thomasofficer', 'facebook_url': ' https://www.facebook.com/legalaidpbc/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 2, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Compliance.AI	{'main_url': ' https://www.compliance.ai/', 'twitter_url': ' https://twitter.com/compliance_ai?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/compliance-ai-1', 'crunchbase_url': ' https://www.crunchbase.com/organization/compliance-ai', 'linkedin_url': ' https://www.linkedin.com/company/compliance.ai', 'facebook_url': ' https://www.facebook.com/complianceai/'}	{'paperwork': 0, 'fundraising': 1, 'estate': 1, 'media': 45, 'consulting': 1, 'learning': 2, 'intelligence': 0, 'patent': 0, 'software': 4, 'budgeting': 0, 'analytics': 1, 'security': 2, 'blockchain': 0, 'litigation': 2, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 1, 'collaboration': 2, 'freelance': 0, 'enforcement': 8, 'education': 0, 'financials': 0, 'e-signature': 0}
Concept Red	{'main_url': ' https://www.crunchbase.com/organization/concept-red', 'twitter_url': ' https://twitter.com/cncpts?lang=en', 'angellist_url': ' https://angel.co/company/pot80s', 'crunchbase_url': ' https://www.crunchbase.com/organization/concept-red', 'linkedin_url': ' https://www.linkedin.com/company/concept-iii-textiles', 'facebook_url': ' https://www.facebook.com/redmonmacparland/'}	403
ContractWorks	{'main_url': ' https://www.contractworks.com/', 'twitter_url': ' https://twitter.com/ContractWorks?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/maya-projects', 'crunchbase_url': ' https://www.crunchbase.com/organization/contractworks', 'linkedin_url': ' https://www.linkedin.com/showcase/contractworks-contract-management-software', 'facebook_url': ' https://www.facebook.com/contractworks/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 2, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 1, 'security': 1, 'blockchain': 0, 'litigation': 0, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 6, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Court Buddy	{'main_url': ' https://www.courtbuddy.com/', 'twitter_url': ' https://twitter.com/courtbuddyinc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/court-buddy', 'crunchbase_url': ' https://www.crunchbase.com/organization/court-buddy', 'linkedin_url': ' https://www.linkedin.com/company/courtbuddy-com', 'facebook_url': ' https://www.facebook.com/courtbuddyinc/'}	{'paperwork': 1, 'fundraising': 0, 'estate': 4, 'media': 6, 'consulting': 0, 'learning': 1, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 8, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Courtroom Animation	{'main_url': ' https://courtroomanimation.com/', 'twitter_url': ' https://twitter.com/courtanimation?lang=en', 'angellist_url': ' https://angel.co/company/courtroom-animation', 'crunchbase_url': ' https://www.crunchbase.com/organization/courtroom-animation', 'linkedin_url': ' https://www.linkedin.com/company/courtroom-animation', 'facebook_url': ' https://www.facebook.com/courtroomanimation/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 2, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 2, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Courtroom Insight	{'main_url': ' https://www.courtroominsight.com/', 'twitter_url': ' https://twitter.com/CrtroomInsight/status/917795512794976256', 'angellist_url': ' https://www.courtroominsight.com/', 'crunchbase_url': ' https://www.crunchbase.com/organization/courtroom-insight', 'linkedin_url': ' https://www.linkedin.com/company/courtroom-insight', 'facebook_url': ' https://www.courtroominsight.com/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 1, 'information': 5, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
DealBinder	{'main_url': ' https://dealbinder.com/', 'twitter_url': ' https://twitter.com/fordhamlawnyc/status/958055462590611461', 'angellist_url': ' https://yygcdv.top806hot.xyz/', 'crunchbase_url': ' https://www.crunchbase.com/organization/deal-roadshow-e1ee', 'linkedin_url': ' https://www.linkedin.com/in/jenniferpope', 'facebook_url': ' https://www.zoominfo.com/c/dealbinder-llc/442411490'}	{'paperwork': 0, 'fundraising': 0, 'estate': 1, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 3, 'blockchain': 0, 'litigation': 0, 'information': 3, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
DocuCollab	{'main_url': ' https://docucollab.com/', 'twitter_url': ' https://twitter.com/docucollab?lang=en', 'angellist_url': ' http://ec2-18-136-1-48.ap-southeast-1.compute.amazonaws.com/legalscape', 'crunchbase_url': ' https://www.crunchbase.com/organization/docucollab', 'linkedin_url': ' https://www.linkedin.com/company/docucollab', 'facebook_url': ' https://www.facebook.com/DocuCollab/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 2, 'consulting': 0, 'learning': 1, 'intelligence': 0, 'patent': 1, 'software': 4, 'budgeting': 0, 'analytics': 2, 'security': 2, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 2, 'marketplace': 0, 'contracts': 3, 'insurance': 0, 'collaboration': 2, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 1}
