['HUGO.legal'],"{'2015': 3, '2019': 2, '1924': 1, '2016': 2, '2017': 1}"
['Predictice'],"{'1955': 2, '2004': 1, '2019': 1, '2014': 1, '2018': 2, '1940': 1}"
['Kopjra'],"{'2014': 4, '1989': 1, '2019': 2}"
['CloudLaw'],"{'2012': 6, '2009': 1, '2013': 1, '2019': 3}"
['Deleyes'],"{'2019': 4, '2016': 4, '2004': 1}"
['Kings Court Trust'],"{'2002': 8, '2011': 1, '2018': 3}"
['Dealz.ai'],"{'2017': 2, '2019': 6, '2018': 2}"
['Legal Manager'],"{'2005': 1, '1949': 1}"
['Just Me Technologies'],"{'2017': 4, '2015': 1, '1953': 1, '2016': 1, '2019': 4, '2018': 1, '1985': 1}"
['Advokatguiden.no'],{}
['Tiqtime'],"{'2014': 4, '2016': 1, '2018': 3}"
['Student Connect'],"{'2014': 1, '2021': 1}"
['Trustlog'],{'2005': 1}
['Divorce AI'],"{'2011': 1, '2014': 2, '2013': 3, '2017': 1, '2019': 1, '1994': 1, '2015': 1}"
['ECL Direct'],"{'2008': 4, '2007': 4, '2018': 1}"
['Grandeo Labs'],"{'2012': 1, '2017': 1, '1982': 1, '2013': 2, '1985': 1, '2008': 1, '2019': 5}"
['EPIQ'],"{'1988': 7, '1998': 2, '1999': 1, '1985': 1, '2000': 1, '2018': 4, '2019': 2, '1979': 1, '2016': 1}"
['The Legal Capsule'],"{'2009': 1, '2006': 1}"
['Aalbul Ltd'],"{'2016': 3, '1948': 1}"
['Testamenta'],"{'2012': 1, '2019': 3, '1983': 1, '1992': 1, '2005': 1, '1902': 2, '2016': 1}"
['Legalfinder.com'],"{'2018': 1, '2019': 6, '2017': 1, '2015': 1}"
['JUIT'],"{'2002': 10, '2018': 3, '2019': 3, '1927': 1}"
['Assembly Software'],"{'2016': 2, '2019': 3, '2013': 3, '1950': 1}"
['myBarrister'],"{'2012': 3, '2014': 4}"
['Torrent Detective'],"{'2018': 4, '2010': 1, '2008': 1}"
['JustBeagle'],"{'2017': 2, '2019': 1, '2000': 1}"
['CodeLex'],"{'2018': 2, '2010': 4, '2006': 1, '2019': 3, '2009': 2, '2017': 1}"
['Bisnode'],"{'1989': 8, '2015': 2, '2012': 1, '2007': 1, '2019': 5, '2017': 1, '2018': 1, '2006': 1}"
['Zweispace'],"{'2016': 2, '2008': 1}"
['DocsCorp'],"{'2004': 2, '2003': 2, '2018': 1, '2016': 1}"
['APARAVI Software Corp'],"{'2016': 2, '2017': 2, '2018': 2}"
['Pibisi'],"{'2018': 3, '2017': 1}"
['Assistent.by'],"{'2011': 1, '1957': 3, '2017': 3, '2019': 4, '1948': 1, '1962': 1, '2014': 1, '2026': 1, '2016': 1}"
['Lexware'],"{'1989': 3, '2016': 1, '1934': 1, '2018': 1, '2010': 2, '2012': 2}"
['Nuvalaw'],"{'2016': 5, '2012': 1, '2019': 1, '2018': 3}"
['Attorneys.org LLC'],"{'1909': 3, '2014': 3, '2019': 2, '1946': 1, '1978': 1, '2012': 2, '2018': 1}"
['Expert Institute'],"{'2010': 4, '2011': 2, '2006': 1}"
['Prifina'],"{'2017': 1, '2019': 2, '2018': 1}"
