http://www.briefmine.com,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 1, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","San Francisco, California, United States",Legal Research -,Service Providers,Legal Service Using Tech,Briefmine is a database of legal briefs powered by natural-language search that offers a technologically advanced platform for conducting.,http://www.briefmine.com,https://twitter.com/briefmine?lang=en,https://angel.co/company/briefmine,https://www.crunchbase.com/organization/briefmine,https://www.linkedin.com/company/briefmine/,n/a,"Database, Document Preparation, Information Services, Legal, Legal Tech, Natural Language Processing"
https://www.brightleaf.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Brookline, Massachusetts, United States",Analytics -  Contracts,n/a,n/a,"Brightleaf helps in mining information from unstructured, text-based documents, and making it accessible.",https://www.brightleaf.com/,https://twitter.com/brightleaf,https://angel.co/company/brightleaf-solutions-1,https://www.crunchbase.com/organization/brightleaf,https://in.linkedin.com/company/brightleaf-corporation,http://www.facebook.com/brightleafcorp,"Analytics, Content, Data Mining, Legal, Legal Tech, Software"
https://www.captaincontrat.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 2, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 2, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Paris, Ile-de-France, France",Document Automation -,n/a,n/a,Captain Contrat is a legal and administrative pillar that accompanies VSEs and SMEs in all stages of the development.,https://www.captaincontrat.com/,https://twitter.com/captaincontrat?lang=en,https://angel.co/jobs?slug=captain-contrat,https://www.crunchbase.com/organization/captain-contrat-2,https://www.linkedin.com/company/captaincontrat,https://www.facebook.com/captaincontrat,"Business Development, Document Management, Intellectual Property, Legal, Legal Tech, Professional Services, SaaS, Small and Medium Businesses"
http://getcaptureit.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 1, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Toronto, ON, Canada",Practice Management -,Companies,Legal Tech,Billable hours time-tracking app,http://getcaptureit.com/,https://twitter.com/Capture_it_app,https://angel.co/capture-it,https://www.crunchbase.com/organization/capture-it-tech-limited#/entity,https://www.linkedin.com/company/capture-it,https://www.facebook.com/TheCaptureItCollection/,"time tracking, billable hours"
http://www.beelinereader.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 1, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 4, 'financials': 0, 'e-signature': 0}","Woodside, CA, USA",E-Discovery -,n/a,n/a,"BeeLine Reader makes reading on-screen easier, faster, and more accessible. Our patented technology has won awards from Stanford University, NewSchools Venture Fund, and The Tech Museum of Innovation.   Our apps have been featured in the New York Times, BBC, The Atlantic,  Fast Company, and Lifehacker.",http://www.beelinereader.com/,https://twitter.com/BeeLineReader?lang=en,https://angel.co/beeline-reader,https://www.crunchbase.com/organization/beeline-3,https://www.linkedin.com/company/beelinereader/,https://www.facebook.com/BeeLine.Reader,n/a
http://www.bhavnani.info,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Scottsdale, AZ, USA",E-Discovery -,n/a,n/a,We offer a service that provides email and internet privacy and security for households and small businesses.  Bhavnani Technologies specializes in creating new and innovative hardware and software. The company's goal is to make cutting edge technology available to consumers and businesses in a way that is cost effective and easy to use. Our first generation of products are focused on improving electronic communication privacy and security.,http://www.bhavnani.info,n/a,https://angel.co/bhavnani-technologies,https://www.crunchbase.com/organization/bhavnani-technologies,https://www.linkedin.com/company/bhavnani-technologies,https://www.facebook.com/pages/Bhavnani-Technologies/673737752685954,n/a
https://caseflow.co,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 2, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 2, 'trusts': 0, 'negotiation': 1, 'marketplace': 0, 'contracts': 0, 'insurance': 1, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Austin, Texas, United States",Practice Management -,n/a,n/a,"Caseflow restructures the way legal businesses work, focusing on personal injury lawyers in the first step.",caseflow.co,n/a,n/a,https://www.crunchbase.com/organization/caseflow,https://au.linkedin.com/company/caseflow,n/a,"Business Development, Legal, Legal Tech, Management Consulting"
https://casetext.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 2, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","San Francisco, California, United States",Legal Research -  Crowdsourcing,Service Providers,Legal Service Using Tech,"Casetext is an AI legal research technology for litigators, helping researchers find cases.",https://casetext.com/,https://twitter.com/casetext?lang=en,https://angel.co/company/casetext,https://www.crunchbase.com/organization/casetext,https://www.linkedin.com/company/casetext,https://www.facebook.com/casetext/,"Artificial Intelligence, Law Enforcement, Legal, Legal Tech, Publishing"
https://www.cellbreaker.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 2, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 2, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Durham, North Carolina, United States",E-Discovery -,n/a,n/a,CellBreaker allows people easily switch cell phone carriers without paying the early termination fee.,https://www.cellbreaker.com/,n/a,https://angel.co/company/cellbreaker,https://www.crunchbase.com/organization/cellbreaker,http://www.linkedin.com/company/cellbreaker,http://www.facebook.com/cellbreaker,"Information Technology, Legal, Legal Tech, Mobile, Software"
https://www.chapter11dockets.com/,"{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}","Chicago, Illinois, United States",Document Automation -,n/a,n/a,Chapter 11 Dockets is an efficient and effective solutions for bankruptcy information and research needs.,https://www.chapter11dockets.com/,n/a,n/a,https://www.crunchbase.com/organization/chapter-11-dockets,n/a,n/a,"Document Management, Finance, Information Services, Legal, Legal Tech"
