Arachnys	2010	New York, NY, USA	Compliance -	Companies	Legal Tech	Arachnys is a technology company specializing in intelligent risk and compliance. What makes us different is that we offer unparalleled control of truly global data. We are the only way to make sure your team see exactly the data they need, retrieved and translated in real-time from the widest collection available worldwide, to empower your decision making in the most efficient and auditable way possible.   The Arachnys platform is used by several of the world’s largest investment banks, consulting & law firms as well as corporates. 	arachnys.com	http://twitter.com/arachnys	https://angel.co/arachnys?utm_source=companies	https://www.crunchbase.com/organization/arachnys?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/arachnys/	https://www.facebook.com/Arachnys-910899132350779/	dilligence, investigation, auditing, document automation
Arrest SOS	2011	Dallas, TX, USA	Marketplace -  Mobile	Individuals	Legal Tech	The App That Gets You Out Of Jail.	http://arrestsos.com	https://twitter.com/ArrestSOS	https://angel.co/arrest-sos	https://www.crunchbase.com/organization/arrest-sos#section-overview	https://www.linkedin.com/company/arrest-sos	https://www.facebook.com/pages/Arrest-SOS/501476813291544	find-a-lawyer, mobile, app
Ashem	2013	New York, NY, USA	E-Discovery -	Unknown	Unknown	We currently operate in a niche and innovative sector of the financial services industry that focuses on the pursuit of litigation claims (when a plaintiff sues in Court for civil redress) to help move the cases forward to completion and victory.	https://www.facebook.com/Ashemllc	0	https://angel.co/ashem	0	0	0	0
Ategra Computer Technology	1997	Palmerston, NT	E-Discovery -	Unknown	Unknown	A professional IT Support company specializing in providing reliable & effective support to small and medium-sized businesses throughout the Topend.	ategra.com.au	https://twitter.com/Ategra	0	https://www.crunchbase.com/organization/ategra-computer-technology?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/ategra-computer-technology	https://www.facebook.com/AtegraTechnology	0
AttorneyFee	0	Mountain View, California, United States	0	0	0	AttorneyFee is an online platform that enables users to compare the fees of local attorneys.	http://www.Attorneyfee.com	http://twitter.com/Attorneyfee	0	https://www.crunchbase.com/organization/attorneyfee		http://www.facebook.com/AttorneyFee	Big Data, Information Services, Legal, Legal Tech, Local, Online Portals
Audvi	2014	San Diego, CA, USA	E-Discovery -	Unknown	Unknown	Game changer for people that are Dyslexic and the Vision-impaired by offering ÛÏaudibly-accessibleÛ technology.	audvi.com	http://twitter.com/audviinc	0	https://www.crunchbase.com/organization/audvi?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/audvi-inc/	https://www.facebook.com/audviinc	0
Avvo	0	Seattle, Washington, United States	0	0	0	Avvo is a legal marketplace, directory, and question and answer forum that connects individuals with lawyers.	http://avvo.com	http://twitter.com/avvo	0	https://www.crunchbase.com/organization/avvo	http://www.linkedin.com/company/avvo	http://www.facebook.com/avvo	Business Development, Consulting, Legal, Legal Tech, Marketplace, Q&A
BackStartup	0	Bogotá, Distrito Especial, Colombia	0	0	0	All-in-one back office platform for startups and SMEs (Legal, Accounting and Payroll)	https://backstartup.com/	https://twitter.com/backstartup	0	https://www.crunchbase.com/organization/backstartup	https://www.linkedin.com/company/backstartup	https://www.facebook.com/BackStartup	Accounting, Financial Services, Legal, Legal Tech, Outsourcing, Small and Medium Businesses
Big Time Software Inc	2002	Chicago, IL, USA	Practice Management -	Unknown	Unknown	BigTime Software, Inc. is a United States-based cloud-based time and billing software company. The Company's browser-based interface for practice management allows professional services firms to instantly deploy and connect BigTime to existing back-office services. The Company's products include Lacerte, Mobile App, QuickBooks Timesheet, BigTime Express and Customer Raves. The Company develops practice management tools that help professional services firms track, manage and invoice their time. Its solutions are designed to speak the language of more than a dozen business types, from accounting and information technology (IT) services to architecture and engineering. It provides its products to a range of industries, such as accounting, technology, architecture and engineering, government contracting, legal and marketing.	http://bigtime.net	0	0	https://www.crunchbase.com/organization/bigtime-software	0	0	0
Bitproof	2015	San Francisco, CA, USA	E-Discovery -	Unknown	Unknown	No description yet	bitproof.io	https://twitter.com/bitproofio	0	https://www.crunchbase.com/organization/bitproof?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv		https://www.facebook.com/bitproof	0
Blue J Legal	0	Toronto, Ontario, Canada	0	0	0	Blue J Legal is a machine learning and artificial intelligence that delivers absolute clarity to the law.	http://www.bluejlegal.com/	https://twitter.com/BlueJLegal	0	https://www.crunchbase.com/organization/blue-j-legal	http://www.bluejlegal.com/blog	https://www.facebook.com/bluejlegal	Artificial Intelligence, Legal, Legal Tech, Machine Learning, Professional Services
Bluetree Legal Connect	0	San Francisco, California, United States	0	0	0	Bluetree Legal Connect connects people seeking legal counsel with attorneys in an area.	https://www.bluetreelegal.com/	https://twitter.com/BluetreeLegal	0	https://www.crunchbase.com/organization/bluetree-legal-connect	https://www.linkedin.com/company/bluetree-legal	https://www.facebook.com/BluetreeLegal	Consulting, Legal, Legal Tech, Marketplace, Professional Services
Briefed	2015	London, UK	Marketplace -	Unknown	Unknown	Briefed empowers the worldÛªs lawyers to elevate their practice to the next level : Legal Directory , Master Classes , Legal Industry Intelligence & Mission Control	http://www.briefedlawyer.co.uk/		0	https://www.crunchbase.com/organization/briefed?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv		https://www.facebook.com/briefedlawyer	0
BriefMine	0	San Francisco, California, United States	0	0	0	Briefmine is a database of legal briefs powered by natural-language search that offers a technologically advanced platform for conducting.	http://www.briefmine.com	http://twitter.com/BriefMine	0	https://www.crunchbase.com/organization/briefmine	https://www.linkedin.com/company/briefmine/		Database, Document Preparation, Information Services, Legal, Legal Tech, Natural Language Processing
Brightleaf	0	Brookline, Massachusetts, United States	0	0	0	Brightleaf helps in mining information from unstructured, text-based documents, and making it accessible.	http://www.brightleaf.com	http://twitter.com/brightleaf	0	https://www.crunchbase.com/organization/brightleaf	https://in.linkedin.com/company/brightleaf-corporation	http://www.facebook.com/brightleafcorp	Analytics, Content, Data Mining, Legal, Legal Tech, Software
Caldeco	2013	Tomsk, Russia	E-Discovery -	Unknown	Unknown	Caldeco (http://calde.co) offers a simple way to capture processes' structures and instantiate them when necessary.	calde.co		0	https://www.crunchbase.com/organization/caldeco?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv			0
CapMail	0	Paris, Ile-de-France, France	0	0	0	CapMail transforms enterprise mail in a dynamic electronic documents management system.	http://capmail.eu/		0	https://www.crunchbase.com/organization/capmail			Document Management, Legal, Legal Tech
Captain Contrat	0	Paris, Ile-de-France, France	0	0	0	Captain Contrat is a legal and administrative pillar that accompanies VSEs and SMEs in all stages of the development.	https://captaincontrat.com/	https://www.twitter.com/captaincontrat	0	https://www.crunchbase.com/organization/captain-contrat-2	https://www.linkedin.com/company/captaincontrat	https://www.facebook.com/captaincontrat	Business Development, Document Management, Intellectual Property, Legal, Legal Tech, Professional Services, SaaS, Small and Medium Businesses
Capture.IT	2015	Toronto, ON, Canada	Practice Management -	Companies	Legal Tech	Billable hours time-tracking app	http://getcaptureit.com/	https://twitter.com/Capture_it_app	https://angel.co/capture-it	https://www.crunchbase.com/organization/capture-it-tech-limited#/entity	0	0	time tracking, billable hours
ping, Inc.	2015	Berkeley, CA	Practice Management -	Unknown	Unknown	We automate timekeeping for lawyers and provide firm analytics for management.	http://timebyping.com/	@timebyping.com	https://angel.co/ping	https://www.crunchbase.com/organization/ping-6	0	0	timekeeping and data analytics
BeeLine Reader	2011	Woodside, CA, USA	E-Discovery -	Unknown	Unknown	BeeLine Reader makes reading on-screen easier, faster, and more accessible. Our patented technology has won awards from Stanford University, NewSchools Venture Fund, and The Tech Museum of Innovation.   Our apps have been featured in the New York Times, BBC, The Atlantic,  Fast Company, and Lifehacker.	http://www.beelinereader.com/	https://twitter.com/BeeLineReader?lang=en	https://angel.co/beeline-reader	https://www.crunchbase.com/organization/beeline-3?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/beelinereader/	https://www.facebook.com/BeeLine.Reader	0
Bhavnani Technologies	2014	Scottsdale, AZ, USA	E-Discovery -	Unknown	Unknown	We offer a service that provides email and internet privacy and security for households and small businesses.  Bhavnani Technologies specializes in creating new and innovative hardware and software. The company's goal is to make cutting edge technology available to consumers and businesses in a way that is cost effective and easy to use. Our first generation of products are focused on improving electronic communication privacy and security.	http://www.bhavnani.info		https://angel.co/bhavnani-technologies	https://www.crunchbase.com/organization/bhavnani-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/bhavnani-technologies		0
Blackletter	2012	Chicago, IL, USA	Document Automation -	Unknown	Unknown	Blackletter enables lawyers and their clients to communicate, collaborate and share documents securely and beautifully across multiple devices.	blackletter.io	https://twitter.com/BlackletterApp?lang=en	https://angel.co/blackletter-1	https://www.crunchbase.com/organization/blackletter-2	https://www.linkedin.com/company/blacklettercap/		0
BleuAcre	2013	Atlanta, GA, USA	Practice Management -  Litigation	Service Providers	Legal Tech	Powerful case management for litigators	http://www.bleuacre.com/	https://twitter.com/BleuAcre	https://angel.co/bleuacre	0	0	0	litigation
Business Integrity	0	Brooklyn, New York, United States	0	0	0	Business Integrity offers a software program that allows people in the legal industry to create automated contracts and legal documents.	http://www.business-integrity.com	http://twitter.com/ContractExpress	0	https://www.crunchbase.com/organization/business-integrity	http://www.linkedin.com/company/business-integrity		Document Management, Legal Tech, Software
Caseflow	0	Austin, Texas, United States	0	0	0	Caseflow restructures the way legal businesses work, focusing on personal injury lawyers in the first step.	http://caseflow.co/		0	https://www.crunchbase.com/organization/caseflow			Business Development, Legal, Legal Tech, Management Consulting
CaseHub	0	London, England, United Kingdom	0	0	0	CaseHub crowdsources consumer legal battles and makes the legal system democratic.	http://www.casehub.co/		0	https://www.crunchbase.com/organization/casehub			Crowdsourcing, Finance, Law Enforcement, Legal, Legal Tech
Caselinq	1900	Chicago, IL, USA	Practice Management -  Litigation	Unknown	Unknown	No description yet	www.caselinq.com	0	0	0	0	0	0
CaseRails	0	New York, New York, United States	0	0	0	CaseRails is an enterprise software startup focused on improving the legal document workflow.	http://www.caserails.com	http://twitter.com/caserails	0	https://www.crunchbase.com/organization/caserails	http://www.linkedin.com/company/caserails	http://www.facebook.com/CaseRails	Document Management, Document Preparation, Information Services, Legal, Legal Tech, Software
Casetext	0	San Francisco, California, United States	0	0	0	Casetext is an AI legal research technology for litigators, helping researchers find cases.	http://www.casetext.com	http://twitter.com/casetext	0	https://www.crunchbase.com/organization/casetext	https://www.linkedin.com/company/casetext	https://www.facebook.com/casetext/	Artificial Intelligence, Law Enforcement, Legal, Legal Tech, Publishing
CellBreaker	0	Durham, North Carolina, United States	0	0	0	CellBreaker allows people easily switch cell phone carriers without paying the early termination fee.	https://www.cellbreaker.com/		0	https://www.crunchbase.com/organization/cellbreaker	http://www.linkedin.com/company/cellbreaker	http://www.facebook.com/cellbreaker	Information Technology, Legal, Legal Tech, Mobile, Software
Chapter 11 Dockets	0	Chicago, Illinois, United States	0	0	0	Chapter 11 Dockets is an efficient and effective solutions for bankruptcy information and research needs.	https://www.chapter11dockets.com/	https://www.twitter.com/chapter11cases	0	https://www.crunchbase.com/organization/chapter-11-dockets			Document Management, Finance, Information Services, Legal, Legal Tech
Checkr	0	San Francisco, California, United States	0	0	0	Checkr seeks to automate the process of professional background checks.	https://checkr.com/	https://twitter.com/checkr	0	https://www.crunchbase.com/organization/checkr	https://www.linkedin.com/company/checkr-com	https://www.facebook.com/checkrio/	Developer APIs, Enterprise Software, Human Resources, Information Services, Internet, Legal, Legal Tech, Software
Claim Kit	1900	Overland Park, KS	Document Automation -	Unknown	Unknown	No description yet	www.claimkit.com	0	0	http://www.crunchbase.com/organization/allegory-law	0	0	0
Clausehound	2015	Toronto, ON, Canada	Document Automation -	Companies	Legal Tech	Contract drafting and clause library	http://clausehound.com/	0	0	0	0	0	liz, content management, document drafting, leases, ndas
ClauseMatch	2014	London, UK	Document Automation -	Unknown	Unknown	ClauseMatch is a SaaS platform for negotiating smarter contracts and collaborating on documents, solving long time problems of lengthy and expensive process of management of documentation and inability to unlock the information contained within contracts and documents.	http://www.clausematch.com/	http://twitter.com/clausematch	0	https://www.crunchbase.com/organization/clausematch?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	http://www.linkedin.com/company/clausematch	http://www.facebook.com/Clausematch	0
ClearContract	2014	Seattle, WA, USA	Document Automation -	Unknown	Unknown	Managing contract negotiations is no easy task. Manual tracking and version control, lack of standardization, use of multiple disparate toolsÛ_all of this results in a process that is labor intensive, costly, and leaves the door wide open for mistakes. WeÛªve built a product to minimize risk, reduce the time people spend on tedious work, and maximize the speed at which contracts are executed.	http://www.clearcontract.com/	https://twitter.com/ClearContract	0	https://www.crunchbase.com/organization/clearcontract?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/clearnda/	http://www.facebook.com/clearcontract	0
ClearNDA	2012	Chicago, IL, USA	Document Automation -  Web	Companies	Legal Tech	Securely bringing contract negotiations to the cloud	http://www.clearnda.com/	https://twitter.com/@clearnda	https://angel.co/clearnda	http://www.crunchbase.com/organization/clearnda	0	0	documents, cloud, contracts, web, negotiation
Clearpath Immigration	2011	New York, NY, USA	Document Automation -	Individuals	Legal Service Using Tech	Immigration forms made easy.	http://www.clearpathimmigration.com	https://twitter.com/ClearpathForms	https://angel.co/clearpath-immigration	http://www.crunchbase.com/organization/clearpath-immigration	0	0	documents, forms, immigration
Clerky	2013	Menlo Park, CA, USA	Document Automation -	Companies	Legal Service Using Tech	Helping startups get legal stuff done right (and fast).	http://clerky.com	https://twitter.com/clerkyinc	https://angel.co/clerky-1	http://www.crunchbase.com/organization/clerky	https://www.linkedin.com/company/clerky-inc-/	https://www.facebook.com/clerkyinc	documents, forms, incorporation, start-ups
Clio	2008	Vancouver, BC, Canada	Practice Management -	Service Providers	Legal Tech	A suite of online tools to help manage your law firm.	http://www.goclio.com/	https://twitter.com/goclio	https://angel.co/clio	http://www.crunchbase.com/organization/clio	https://www.linkedin.com/company/clio---cloud-based-legal-technology/	https://www.facebook.com/GoClio	practice management
CliXLEX	2013	New York, NY, USA	Document Automation -	Unknown	Unknown	The first platform of its kind, leveraging M2M, AI, Cloud & EDI to create a meeting point & exchange for the legal, regulatory community - enabling & facilitating efficient, cost-effective transactions such as eFiling	clixlex.com	http://twitter.com/CliXLEX	0	https://www.crunchbase.com/organization/clixlex#/entity	http://www.linkedin.com/company/3008185		0
ClosingFolders	2015	Toronto, ON, Canada	Document Automation -	Companies	Legal Tech	Organizing and executing corporate deals	http://www.closingfolders.com/	https://twitter.com/ClosingFolders	0	0	0	0	legalx, mars, closing checklists, transactions
Congo	2014	Boulder, CO, USA	Marketplace -	Unknown	Unknown	An online directory and communication platform for clients and attorneys.	congo.io	https://twitter.com/usecongo	0	https://www.crunchbase.com/organization/congo-2?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/congo-ltd-/	https://www.facebook.com/usecongo/	0
contnu	2011	New York, NY, USA	Legal Education -	Unknown	Unknown	Contnu is Amazon for continuing professional education.	contnu.com	0	0	0	0	0	0
Cited	0	Los Angeles, California, United States	0	0	0	Cited offers a mobile app that allows users to submit parking citations to be contested by Cited's team of representatives.	http://www.citedapp.com/	http://twitter.com/citedapp	0	https://www.crunchbase.com/organization/cited			Document Preparation, Legal, Legal Tech, Mobile Apps, Parking
ClearView Social	0	Buffalo, New York, United States	0	0	0	ClearView Social is a social sharing platform created to help law firms.	http://clearviewsocial.com/	https://twitter.com/CV_Social	0	https://www.crunchbase.com/organization/clearview-social	https://www.linkedin.com/company/clearview-social	https://www.facebook.com/Clearviewsocial/	Legal, Legal Tech, Social Media, Social Media Management
Contract Cloud	2013	Los Angeles, CA, USA	Document Automation -  Mobile	Unknown	Unknown	Contract Cloud saves businesses and individuals millions of dollars a year in regulation and litigation costs.	http://www.contractcloudinc.com/	http://twitter.com/ContractCloud	0	http://www.crunchbase.com/organization/caserails	http://www.linkedin.com/company/contractcloud/	https://www.facebook.com/contractcloud1/	0
Contractually	2010	Vancouver, BC, Canada	Document Automation -  Web	Companies	Legal Tech	The fastest, easiest way to do contracts.	http://www.contractual.ly/	https://twitter.com/@contractually	https://angel.co/contractually	http://www.crunchbase.com/organization/contractually	http://www.linkedin.com/company/contractually		documents, contracts, web, app
ContratosApp	2014	Mexico City, Mexico	Document Automation -	Unknown	Unknown	ContratosApp offers a unique way for freelancers to create simple legal agreements and have an organized legal agenda.	http://www.contratosapp.com/	0	0	0	0	0	0
Cicayda	2012	Nashville, TN, USA	Practice Management -  Discovery	Service Providers	Legal Tech	eDiscovery technology & services for intelligent litigationÌø_	http://www.cicayda.com/	https://twitter.com/cicayda	0	http://www.crunchbase.com/organization/cicayda	0	0	discovery
Cooley	1900	Palo Alto, CA, USA	Document Automation -	Unknown	Unknown	Cooley GO is a new resource for entrepreneurs. Articles, document generators and more. Check it out at cooleygo.com	cooley.com	http://twitter.com/CooleyLLP	0	https://www.crunchbase.com/organization/cooley-llp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	http://www.linkedin.com/company/cooleyllp	http://www.facebook.com/CooleyLLP	0
