Status	name	date	hq	US based?	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
acquired	Allegory Law	2011	New York, New York, United States	x	Practice Management	Service Providers	Legal Tech	Allegory Law, doing business as Allegory Solutions, provides software solutions for litigation markets.	https://www.allegorylaw.com/	https://twitter.com/allegorylaw?lang=en	https://angel.co/company/allegory-law-1	https://www.crunchbase.com/organization/allegory-law	http://www.linkedin.com/company/allegory-law/	http://www.facebook.com/allegorylaw/	Information Technology, Legal, Legal Tech, Management Consulting, Management Information Systems, Software	acquired
	3FlightDelay	2018	3 Tsereteli st, Tbilisi, Georgia		Legal Education	n/a	n/a	If your flight is delayed or cancelled and you arrive at your final destination at least 3 hours after the scheduled time due to causes within the airline carrier's control, you are entitled for up to €600 compensation according to EU Regulation 261/2004.  3FlightDelay help you claim compensation for your delayed or cancelled flight!	https://3flightdelay.com	n/a	https://angel.co/company/3flightdelay-flight-delay-compensation	https://www.crunchbase.com/organization/3flightdelay-com-flight-delay-compensation	n/a	https://www.facebook.com/3FlightDelay/	delayed flight compensation, flight delay compensation, flight compensation	inactive
	3Lawgy	n/a	Tel Aviv, Tel Aviv, Israel		Practice Management	n/a	n/a	3Lawgy is a sharing economy platform for legal services.	http://3lawgy.com/	n/a	n/a	https://www.crunchbase.com/organization/3lawgy	https://www.linkedin.com/company/3-lawgy/	n/a	FinTech, Legal, Legal Tech	inactive
B	Aderant	2003	Boston, MA, USA	x	Practice Management	Companies	Legal Tech	Aderant legal software offers a suite of business solutions that enable agility within law firms of all sizes around the globe, and is the #1 choice for legal practice management software among the AmLaw 200.	https://www.aderant.com/	@Aderant	https://angel.co/xmlaw	https://www.crunchbase.com/organization/xmlaw	https://www.linkedin.com/company/aderant	https://www.facebook.com/Aderant-183000441735580/	n/a	active
B	AfterSteps	2011	New York, NY, USA	x	Document Automation	Individuals	Legal Service Using Tech	Online end-of-life planning platform.	http://www.aftersteps.com	https://twitter.com/AfterStepsCo	https://angel.co/aftersteps	https://www.crunchbase.com/organization/aftersteps	n/a	http://www.facebook.com/AfterStepsCo	information, media, security	active
B	Airport Lawyer	2017	New York, New York, United States	x	Marketplace	n/a	n/a	Airport Lawyer is a community resource provided at no cost.	https://www.airportlawyer.org/	https://twitter.com/airport_lawyer?lang=en	n/a	https://www.crunchbase.com/organization/airport-lawyer	n/a	https://www.facebook.com/Airport-Lawyer-2231390243751918/	Advice, Consulting, Information Technology, Legal, Legal Tech	active
	Abe.	2014	Toronto, ON, Canada		Marketplace	Individuals	Legal Service Using Tech	Find lawyers recommended by experienced entrepreneurs.	https://www.abe.legal/	https://twitter.com/abe_legal	https://angel.co/company/abebets	https://www.crunchbase.com/organization/abe-97ac	https://www.linkedin.com/company/abe-qualifications/	https://www.facebook.com/public/Abe-Abe	web, find-a-lawyer, entrepreneur, recommendation	inactive
B	Alt Legal	2013	New York, NY, USA	x	Practice Management	n/a	n/a	Alt Legal makes your IP practice more productive.	https://www.altlegal.com	https://twitter.com/AltLegalHQ	https://angel.co/company/altlegal/jobs	https://www.crunchbase.com/organization/altlegal	https://www.linkedin.com/company/alt-legal-ip-management-software/	https://www.facebook.com/AltLegal/	n/a	active
B	AltaClaro	2016	New York, NY	x	Legal Education	n/a	n/a	AltaClaro is an experiential learning platform that provides attorneys with universal access to interactive professional education taught by top practitioners including one-on-one or small group practical skills training, CLE, and professional development courses.	http://www.altaclaro.com/	https://twitter.com/AltaClaro	https://angel.co/altaclaro	https://www.crunchbase.com/organization/altaclaro	https://www.linkedin.com/company-beta/12958828/	https://www.facebook.com/altaclaro/	n/a	active
B	Anaqua	2004	Boston, MA	x	Practice Management	n/a	n/a	Anaqua is a leading provider of Intellectual Asset Management software and related services.	https://www.anaqua.com	https://twitter.com/Anaqua	https://angel.co/anaqua	https://www.crunchbase.com/organization/anaqua	http://www.linkedin.com/company/anaqua	http://www.facebook.com/AnaquaIP	n/a	active
	accreditation.io	2014	West Sacramento		Document Automation	Individuals	Legal Service Using Tech	accreditation.io is a platform for startups & investors to easily create and share investor eligibility docs -- Now everyone can finally have paperwork OCD!	http://accreditation.io	https://twitter.com/get_accredited	https://angel.co/accreditation-io	https://www.crunchbase.com/organization/accreditation	n/a	n/a	documents, accreditation, investor	inactive
	Acordo Fechado	n/a	n/a		Practice Management	n/a	n/a	Acordo Fechado develops an online mediation and conciliation platform created to resolve disputes between consumers and businesses.	https://www.acordofechado.com.br/	https://twitter.com/acordo_fechado?lang=en	n/a	https://www.crunchbase.com/organization/acordo-fechado	https://www.linkedin.com/company/acordo-fechado/	https://www.facebook.com/acordofechado00/	Advice, Apps, Developer Platform, Legal, Legal Tech	inactive
B	Atims	n/a	Los Angeles, California, United States	x	Practice Management	n/a	n/a	Atims is a law enforcement company located in Los Angeles.	https://www.atims.com/	n/a	n/a	https://www.crunchbase.com/organization/atims	https://in.linkedin.com/company/atims	https://www.facebook.com/public/Atims-Atims	Law Enforcement, Legal, Legal Tech	active
	Added Life Value AG	2010	Düsseldorf (Germany)  and Berlin		Marketplace	n/a	n/a	Added Life Value is Germany's first Curated Legal Shopping Company: all information for free, get free advice, your legal coach is 24/7 with you, buy legal products at best prices without having to go to any law firms!	https://www.addedlifelvalue.com	https://twitter.com/scheidungde	n/a	n/a	n/a	https://www.facebook.com/pages/Added-Life-Value-AG/105430239493632	curated legal shopping company, family law, europe, germany, online divorce	inactive
