USA
1900, 18
1929, 1
1982, 1
1983, 1
1988, 2
1989, 1
1994, 1
1995, 1
1996, 1
1997, 1
1998, 2
1999, 2
2000, 4
2001, 5
2002, 7
2003, 5
2004, 2
2005, 3
2006, 7
2007, 9
2008, 17
2009, 12
2010, 15
2011, 37
2012, 58
2013, 75
2014, 97
2015, 75
2016, 49
2017, 33
2018, 21
2019, 7
2020, 2
