country	count
California	193
Washington	11
Massachusetts	26
New York	90
Texas	28
North Carolina	7
Florida	30
Oregon	6
Pennsylvania	16
Alabama	3
Tennessee	6
Georgia	17
Nevada	5
Illinois	31
Arizona	8
Indiana	3
Maryland	7
Minnesota	6
Ohio	6
District of Columbia	8
Colorado	15
Utah	4
Maine	2
Kansas	6
Iowa	1
Michigan	7
Virginia	12
New Jersey	9
Connecticut	3
New Hampshire	1
Delaware	1
Hawaii	1
Rhode Island	1
Oklahoma	1
Wisconsin	1
Kentucky	2
